seed,result,time (seconds)
1,unknown,0.295
2,solved,0.005
3,unknown,5.049
4,solved,0.014
5,solved,0.029
6,solved,0.056
7,solved,0.05
8,solved,6.667
9,solved,0.002
10,solved,0.167
11,unknown,0.073
12,solved,0
13,solved,0
14,solved,0.002
15,unknown,27.735
16,solved,1.151
17,solved,0.004
18,solved,0
19,unknown,0.002
20,solved,0
21,unknown,0
22,unknown,474.566
23,solved,0
24,solved,0
25,solved,0
26,solved,2.878
27,solved,0.454
28,solved,0.029
29,unknown,0
30,solved,0
31,unknown,12.968
32,solved,0.007
33,unknown,34.676
34,solved,0.266
35,solved,0.252
36,solved,4.072
37,solved,0.422
38,solved,0.178
39,unknown,30.42
40,unknown,0
41,solved,0.003
42,solved,0.029
43,unknown,0.348
44,solved,0
45,unknown,0.006
46,solved,0
47,solved,0
48,solved,4.854
49,solved,0.008
50,solved,0
51,unknown,0
52,solved,0
53,solved,6.024
54,solved,2.17
55,solved,0.026
56,solved,1.501
57,solved,0
58,solved,0.156
59,unknown,0
60,solved,2.257
61,solved,0
62,solved,0.281
63,solved,0
64,solved,0.004
65,solved,0
66,unknown,2.912
67,solved,0
68,solved,0
69,solved,0
70,unknown,0
71,solved,0.005
72,solved,1.664
73,unknown,0
74,unknown,0.727
75,solved,0.028
76,solved,0.173
77,solved,0
78,unknown,4.258
79,unknown,0.034
80,solved,0
81,unknown,0.093
82,unknown,24.46
83,solved,0.012
84,solved,0
85,solved,0
86,solved,0
87,solved,0.081
88,unknown,0.058
89,solved,0.017
90,unknown,11.015
91,solved,0.045
92,solved,0.762
93,unknown,0.003
94,solved,0
95,solved,0
96,solved,0
97,solved,0.02
98,solved,0.32
99,solved,0
100,solved,0.007
101,unknown,0.071
102,unknown,0.014
103,solved,0.051
104,solved,0.046
105,unknown,0
106,unknown,0.001
107,unknown,0
108,unknown,6.821
109,solved,0
110,solved,4.411
111,solved,0.031
112,solved,0.153
113,solved,0.005
114,solved,0.016
115,unknown,164.492
116,unknown,0.078
117,solved,1.119
118,solved,0
119,solved,0.004
120,solved,0
121,unknown,0.016
122,solved,0.001
123,solved,0.046
124,unknown,0
125,unknown,56.171
126,solved,1.106
127,solved,0.036
128,solved,0.004
129,solved,0.094
130,solved,0.001
131,unknown,0.148
132,solved,0.071
133,solved,0
134,solved,0.006
135,solved,24.339
136,unknown,3.887
137,solved,7.644
138,solved,0
139,unknown,0.011
140,solved,0.002
141,solved,0.001
142,unknown,0
143,unknown,0.081
144,solved,0.001
145,unknown,0
146,solved,0.002
147,solved,0
148,unknown,1.916
149,solved,0.005
150,solved,0.01
151,solved,0
152,solved,0.196
153,unknown,0.005
154,solved,0
155,solved,28.543
156,unknown,0.209
157,solved,0
158,solved,0
159,solved,0
160,solved,4.617
161,solved,0
162,solved,0.006
163,solved,0.831
164,solved,1.06
165,solved,0.001
166,solved,0
167,solved,0.005
168,solved,0.005
169,solved,0.009
170,solved,1.486
171,solved,0
172,solved,0.015
173,solved,0
174,solved,0.005
175,solved,0.001
176,solved,0.002
177,solved,0.002
178,solved,0.022
179,solved,0.009
180,solved,0.038
181,unknown,2.491
182,solved,21.976
183,solved,0
184,solved,0
185,solved,0
186,solved,0.009
187,solved,6.534
188,solved,0.124
189,solved,0.006
190,solved,0
191,solved,0
192,solved,0.087
193,solved,0.007
194,solved,0.408
195,unknown,0.07
196,solved,0
197,solved,0
198,solved,0.008
199,solved,1.722
200,solved,0.451
201,unknown,0.394
202,solved,0.012
203,solved,0.194
204,solved,0
205,solved,0.001
206,solved,0.438
207,solved,0
208,solved,0.002
209,solved,0
210,solved,0.022
211,solved,0.237
212,solved,0.008
213,unknown,8.065
214,solved,0.198
