seed,result,time (seconds)
1,unsolvable,1.959
2,unknown,91.559
3,unknown,36.849
4,unknown,136.144
5,unknown,8.373
6,unknown,38.046
7,unknown,45.587
8,unknown,8.272
9,unknown,22.977
10,unknown,19.644
11,unknown,32.372
12,unknown,10.24
13,unknown,33.697
14,unknown,38.593
15,unsolvable,1.954
16,unknown,34.809
17,unknown,32.441
18,unknown,25.962
19,unsolvable,111.196
20,unknown,7.396
21,unsolvable,6.083
22,unsolvable,1.646
23,unknown,31.961
24,unknown,10.289
25,unknown,46.071
26,unknown,9.517
27,unknown,28.863
28,unknown,23.738
29,unsolvable,14.274
30,unknown,16.97
31,unknown,15.372
32,unknown,17.032
33,unsolvable,1.357
34,unknown,8.143
35,unknown,17.519
36,unknown,9.266
37,unknown,51.376
38,unknown,32.88
39,unsolvable,2.728
40,unsolvable,1.388
41,unknown,27.148
42,unknown,30.339
43,unsolvable,3.562
44,unknown,33.936
45,unsolvable,14.174
46,unknown,48.586
47,unknown,15.67
48,unknown,51.734
49,unknown,20.625
50,unknown,24.74
51,unsolvable,34.715
52,unknown,9.746
53,unknown,16.315
54,unknown,10.537
55,unknown,40.134
56,unknown,27.24
57,unknown,20.919
58,unknown,24.89
59,unsolvable,28.681
60,unknown,8.189
61,unknown,13.631
62,unknown,37.258
63,unknown,38.169
64,unknown,35.291
65,unknown,33.321
66,unknown,19.233
67,unknown,58.336
68,unknown,14.115
69,unknown,15.328
70,unsolvable,21.092
71,unknown,42.963
72,unknown,52.409
73,unsolvable,36.592
74,unknown,134.843
75,unknown,27.512
76,unknown,76.851
77,unknown,18.41
78,unsolvable,2.283
79,unknown,20.961
80,unknown,20.419
81,unsolvable,122.989
82,unknown,33.067
83,unknown,16.737
84,unknown,34.12
85,unknown,27.213
86,unknown,17.331
87,unknown,28.958
88,unsolvable,2.203
89,unknown,17.475
90,unknown,25.037
91,unknown,56.102
92,unknown,44.72
93,unsolvable,18.203
94,unknown,27.122
95,unknown,21.916
96,unknown,63.536
97,unknown,53.256
98,unknown,25.532
99,unknown,18.855
100,unknown,20.468
101,unknown,34.568
102,unsolvable,2.689
103,unknown,28.989
104,unknown,16.602
105,unsolvable,44.101
106,unsolvable,19.522
107,unsolvable,30.413
108,unknown,65.556
109,unknown,12.182
110,unknown,69.909
111,unknown,60.256
112,unknown,30.685
113,unknown,27.219
114,unknown,9.503
115,unknown,9.957
116,unsolvable,36.049
117,unknown,82.762
118,unknown,11.714
119,unknown,26.351
120,unknown,21.128
121,unsolvable,79.535
122,unknown,31.695
123,unknown,9.845
124,unsolvable,2.737
125,unknown,20.686
126,unknown,42.093
127,unknown,25.763
128,unknown,7.985
129,unknown,31.658
130,unknown,33.557
131,unknown,25.211
132,unknown,57.095
133,unknown,54.013
134,unknown,55.025
135,unknown,44.087
136,unknown,16.189
137,unknown,10.985
138,unknown,14.699
139,unsolvable,6.222
140,unknown,23.865
141,unknown,56.136
142,unsolvable,24.746
143,unsolvable,12.153
144,unknown,35.85
145,unsolvable,1.63
146,unknown,24.494
147,unknown,29.01
148,unknown,144.349
149,unknown,58.224
150,unknown,19.494
151,unknown,23.875
152,unknown,37.488
153,unsolvable,15.394
154,unknown,8.462
155,unknown,37.44
156,unsolvable,27.667
157,unknown,12.321
158,unknown,48.683
159,unknown,18.147
160,unknown,25.526
161,unknown,60.508
162,unknown,22.723
163,unknown,7.294
164,unknown,24.557
165,unknown,37.011
166,unknown,24.361
167,unknown,30.047
168,unknown,23.342
169,unknown,35.492
170,unknown,25.169
171,unknown,23.706
172,unknown,54.618
173,unknown,83.559
174,unknown,59.176
175,unknown,34.891
176,unknown,29.68
177,unknown,26.227
178,unknown,48.866
179,unknown,9.367
180,unknown,61.575
181,unsolvable,2.37
182,unknown,32.54
183,unknown,18.536
184,unknown,25.376
185,unknown,10.732
186,unknown,40.555
187,unknown,63.506
188,unknown,86.789
189,unknown,25.348
190,unknown,29.876
191,unknown,13.685
192,unknown,43.993
193,unknown,17.651
194,unknown,16.931
195,unknown,114.623
196,unknown,21.094
197,unknown,54.193
198,unknown,7.617
199,unknown,11.003
200,unknown,24.207
201,unknown,77.369
202,unknown,22.987
203,unknown,108.681
204,unknown,19.902
205,unknown,11.064
206,unknown,83.21
207,unknown,51.1
208,unknown,57.923
209,unknown,25.754
210,unknown,26.503
211,unknown,45.741
212,unknown,24.349
213,unsolvable,2.97
214,unknown,25.644
215,unknown,23.587
216,unknown,23.719
217,unknown,59.435
218,unknown,56.855
219,unknown,34.968
220,unknown,39.609
221,unknown,17.847
222,unknown,48.604
